Code;Naam;X;Y;Provincie;Inwoners;Oppervlakte;Inw/km2
119;Meppel;211.638;523.480;DR;33408;58;576
687;Middelburg;32.745;392.124;ZLD;48266;53;910
19687;Vrouwenpolder;32.745;405.124;ZLD;48266;53;910
1731;Midden-Drenthe;231.199;543.559;DR;32853;346;95
815;Mill en Sint Hubert;181.109;412.003;NB;10828;53;204
1709;Moerdijk;102.561;409.268;NB;16798;100;200
1978;Molenlanden;118.379;431.199;ZH;43811;182;241
1955;Montferland;211.996;438.059;GLD;35530;110;323
335;Montfoort;124.527;451.561;UT;13874;38;363
944;Mook en Middelaar;190.472;418.155;LB;7762;19;412
946;Nederweert;182.391;365.125;LB;16975;102;166
10394;Nieuw Vennep;104.594;475.824;NH;50070;50;775
356;Nieuwegein;135.143;449.340;UT;62401;32;1947
10356;Vianen;135.143;445.340;UT;62401;32;1947
569;Nieuwkoop;114.631;463.411;ZH;28260;90;314
267;Nijkerk;162.703;468.982;GLD;42293;72;587
268;Nijmegen;186.775;428.256;GLD;175940;58;3045
1930;Nissewaard;76.840;427.709;ZH;4229;0;8458800
1970;Noardeast-Fryslân;200.751;589.516;FR;45248;374;121
19701;Dokkum;200.751;589.516;FR;45248;374;121
19702;Lauwersoog;208.751;595.516;FR;45248;374;121
1695;Noord-Beveland;42.955;399.025;ZLD;7237;121;60
1699;Noordenveld;226.564;571.676;DR;32242;205;157
575;Noordwijk;93.080;473.243;ZH;42610;58;730
820;Nuenen;165.074;386.869;NB;22990;34;674
302;Nunspeet;180.744;484.750;GLD;27063;129;209
579;Oegstgeest;92.447;466.767;ZH;23885;8;3078
823;Oirschot;148.546;389.664;NB;17772;102;174
824;Oisterwijk;141.825;396.188;NB;26075;64;408
269;Oldebroek;191.890;497.660;GLD;23427;99;237
173;Oldenzaal;259.097;481.248;OV;31893;22;1453
1773;Olst-Wijhe;207.044;487.335;OV;17994;118;152
175;Ommen;226.942;502.046;OV;17464;182;96
1586;Oost Gelre;237.796;448.132;GLD;29620;110;269
826;Oosterhout;119.002;405.840;NB;55110;73;754
85;Ooststellingwerf;211.345;555.112;FR;25321;226;112
431;Oostzaan;120.612;495.712;NH;9726;16;603
432;Opmeer;126.129;524.392;NH;11492;42;274
86;Opsterland;201.674;562.656;FR;29598;228;130
828;Oss;165.540;420.067;NB;90851;175;519
437;Ouder-Amstel;123.033;477.921;NH;13483;26;515
589;Oudewater;119.317;449.002;UT;10160;40;253
590;Papendrecht;108.108;427.755;ZH;32256;11;2995
1894;Peel en Maas;198.819;372.549;LB;43234;161;268
765;Pekela;261.231;566.083;GR;12227;50;244
1926;Pijnacker-Nootdorp;89.270;448.275;ZH;53629;39;1389
439;Purmerend;125.656;501.613;NH;79967;25;3256
273;Putten;167.668;473.845;GLD;24238;88;277
177;Raalte;213.609;491.603;OV;37047;172;215
703;Reimerswaal;66.804;384.426;ZLD;22386;243;92
274;Renkum;181.789;444.858;GLD;31335;47;665
339;Renswoude;164.905;453.869;UT;5167;19;279
1667;Reusel-De Mierden;139.281;376.872;NB;13014;78;167
275;Rheden;200.026;449.476;GLD;43461;84;515
340;Rhenen;167.073;444.400;UT;19780;43;460
597;Ridderkerk;100.168;431.522;ZH;45779;25;1808
1742;Rijssen-Holten;227.223;478.401;OV;38035;94;403
603;Rijswijk;82.422;450.036;ZH;52208;14;3608
1669;Roerdalen;203.095;351.433;LB;20674;89;233
957;Roermond;197.898;356.540;LB;57693;71;812
1674;Roosendaal;88.716;393.306;NB;76977;107;718
599;Rotterdam;89.449;437.544;ZH;638600;304;2099
10599;Rotterdam-A;95.449;441.544;ZH;0;0;0
277;Rozendaal;195.609;449.903;GLD;1565;28;56
840;Rucphen;98.292;393.866;NB;22352;64;348
518;s-Gravenhage;81.783;454.410;ZH;532556;86;6220
10518;Clausplein;85.783;453.410;ZH;0;0;0
796;s-Hertogenbosch;152.856;412.995;NB;153425;91;1681
441;Schagen;114.143;529.821;NH;46363;19;2396
279;Scherpenzeel;162.604;455.478;GLD;9750;14;704
606;Schiedam;86.233;438.590;ZH;77889;20;3916
88;Schiermonnikoog;211.890;612.409;FR;765;191;4
1842;Schipluiden;81.562;443.389;ZH;19300;50;386
1676;Schouwen-Duiveland;54.775;405.000;ZLD;33449;301;111
16761;Zierikzee;56.775;401.000;ZLD;25000;30;111
16762;Bruinisse;64.775;403.000;ZLD;10000;30;111
16763;Renesse;48.775;409.000;ZLD;10000;30;111
965;Simpelveld;196.752;316.105;LB;10545;16;643
1702;Sint Anthonis;187.299;403.711;NB;11478;100;115
845;Sint-Michielsgestel;154.103;406.713;NB;28673;60;479
1883;Sittard-Geleen;186.615;334.754;LB;92932;81;1154
610;Sliedrecht;112.655;427.856;ZH;25018;14;1787
1714;Sluis;25.267;369.123;ZLD;23441;308;76
21940;Sneek;181.813;554.185;FR;41627;100;238
342;Soest;149.612;464.749;UT;46059;46;992
847;Someren;175.564;376.306;NB;19064;80;238
848;Son en Breugel;162.368;391.719;NB;16742;26;632
37;Stadskanaal;264.912;560.477;GR;32149;120;268
180;Staphorst;211.841;519.229;OV;16696;136;123
532;Stede Broec;143.967;523.776;NH;21658;16;1319
851;Steenbergen;82.984;400.670;NB;24640;160;154
1708;Steenwijk;197.665;532.328;OV;43560;330;132
971;Stein;181.849;330.468;LB;24968;23;1097
1904;Breukelen;129.998;468.105;UT;64440;102;634
715;Terneuzen;46.436;365.433;ZLD;54385;318;171
93;Terschelling;154.656;594.761;FR;4718;674;7
448;Texel;116.822;562.987;NH;13435;463;29
1525;Teylingen;95.110;469.466;ZH;36555;34;1086
716;Tholen;64.045;400.958;ZLD;25451;255;100
281;Tiel;156.415;433.495;GLD;41440;33;1270
855;Tilburg;133.330;399.905;NB;217241;118;1839
183;Tubbergen;247.535;492.367;OV;21078;147;143
1700;Vroomshoop;235.617;495.941;OV;33826;108;313
1730;Tynaarlo;236.288;569.942;DR;33369;148;226
737;Tytsjerksteradiel;192.299;579.730;FR;31800;161;197
856;Uden;172.655;407.325;NB;41703;68;617
450;Uitgeest;109.727;504.163;NH;13510;22;608
451;Uithoorn;114.469;471.782;NH;29430;19;1510
184;Urk;171.079;520.066;FL;20425;110;186
344;Utrecht;133.155;455.618;UT;347421;99;3498
1581;Utrechtse Heuvelrug;154.524;449.619;UT;49215;134;367
981;Vaals;196.213;310.037;LB;9871;24;413
1734;Valburg;180.480;435.213;GLD;47380;115;412
994;Valkenburg aan de Geul;185.908;319.061;LB;16421;37;445
858;Valkenswaard;158.626;372.705;NB;30607;56;542
1509;Varsseveld;224.190;434.070;GLD;39519;1;28637
47;Veendam;255.602;567.784;GR;27470;79;349
345;Veenendaal;166.459;448.037;UT;64917;20;3277
717;Veere;30.809;393.773;ZLD;21864;135;162
1948;Veghel;162.680;400.124;NB;80104;79;1015
861;Veldhoven;156.125;380.023;NB;44911;32;1407
453;Velsen;104.334;494.614;NH;47811;43;1075
983;Venlo;206.775;377.090;LB;101187;129;785
984;Venray;200.124;392.050;LB;43323;146;296
1961;Vijfheerenlanden;132.361;437.178;UT;54885;153;358
622;Vlaardingen;82.440;437.535;ZH;72037;27;2696
96;Vlieland;129.928;577.121;FR;962;321;3
718;Vlissingen;31.567;387.842;ZLD;44156;345;128
986;Voerendaal;192.324;319.824;LB;12379;31;394
385;Volendam;128.269;507.531;NH;35946;25;1450
626;Voorschoten;90.040;460.006;ZH;25452;12;2196
285;Voorst;202.943;472.071;GLD;24307;127;192
865;Vught;146.741;407.512;NB;26396;34;766
866;Waalre;158.287;377.289;NB;17064;22;769
867;Waalwijk;129.950;410.608;NB;47689;68;704
627;Waddinxveen;104.807;450.261;ZH;27568;29;938
289;Wageningen;173.510;442.499;GLD;38399;32;1187
629;Wassenaar;86.437;460.571;ZH;26063;63;417
852;Waterland;128.335;495.377;NH;17217;116;149
988;Weert;177.696;360.651;LB;49777;105;472
457;Weesp;132.783;480.137;NH;19145;22;875
1960;West Betuwe;142.386;432.110;GLD;50170;216;232
668;West Maas en Waal;165.004;429.653;GLD;18818;85;221
1969;Westerkwartier;216.206;582.472;GR;62832;359;175
1701;Westerveld;217.698;537.236;DR;18944;283;67
293;Westervoort;195.843;441.615;GLD;15014;8;1915
1950;Westerwolde;268.881;560.890;GR;24417;281;87
1783;Westland;76.914;446.285;ZH;107440;91;1186
98;Weststellingwerf;196.621;542.919;FR;25576;228;112
189;Wierden;235.024;483.022;OV;24248;94;257
296;Wijchen;176.782;426.130;GLD;40843;70;587
1696;Wijdemeren;132.884;471.537;NH;23639;77;307
352;Wijk bij Duurstede;150.996;445.289;UT;23641;50;470
11709;Willemstad;92.561;408.268;NB;6798;84;200
1895;Winschoten;264.662;578.276;GR;38039;241;158
294;Winterswijk;244.338;443.814;GLD;28894;138;209
873;Woensdrecht;82.268;381.175;NB;21800;100;218
632;Woerden;121.637;458.069;UT;51740;93;557
880;Wormerland;119.328;501.499;NH;15980;45;354
351;Woudenberg;158.565;454.937;UT;12999;37;354
479;Zaanstad;120.571;499.305;NH;154805;83;1864
297;Zaltbommel;139.424;422.461;GLD;27977;90;312
473;Zandvoort;98.456;487.630;NH;16938;44;382
50;Zeewolde;160.930;487.446;FL;22325;269;83
355;Zeist;145.358;457.013;UT;63281;49;1301
299;Zevenaar;203.097;439.553;GLD;43395;106;409
637;Zoetermeer;93.481;453.196;ZH;124670;37;3364
638;Zoeterwoude;95.530;459.087;ZH;8412;22;388
1892;Zuidplas;101.095;445.336;ZH;41871;18;2267
879;Zundert;104.659;389.243;NB;21501;120;179
11900;Zurich;158.625;564.943;FR;89559;34;2631
301;Zutphen;212.149;461.399;GLD;47524;43;1107
10392;Zwanenburg;111.050;487.751;NH;15680;5;4976
1896;Zwartewaterland;202.361;512.580;OV;22417;88;255
642;Zwijndrecht;101.356;426.885;ZH;44584;23;1958
193;Zwolle;206.138;502.784;OV;126079;119;1057
